Currency;CurrencyCd;ReportDate;Valuation
Euro;eur;02APR2012;8.78905
US Dollar;usd;04JUL2012;6.90850
Euro;eur;07JUN2011;9.01531
US Dollar;usd;07OCT2011;6.75960
Norwegian Kroner;nok;01JAN2016;0.95618
Australian Dollar;aud;06DEC2011;6.89500
US Dollar;usd;02JUL2011;6.29475
Euro;eur;03MAR2010;9.79124
Norwegian Kroner;nok;05DEC2013;1.05616
United Kingdom Pound;gbp;02APR2011;10.16980
Australian Dollar;aud;08JUN2009;6.18004
United Kingdom Pound;gbp;08NOV2018;11.75218
Australian Dollar;aud;08SEP2020;6.59509
Norwegian Kroner;nok;05SEP2016;1.03229
United Kingdom Pound;gbp;08NOV2010;10.77060
United Kingdom Pound;gbp;06FEB2014;10.58410
Euro;eur;07SEP2008;9.46801
Euro;eur;03MAR2015;9.25475
United Kingdom Pound;gbp;09APR2009;11.99740
Norwegian Kroner;nok;09NOV2011;1.16873
Australian Dollar;aud;08SEP2008;5.45932
Danish Krone;dkk;03JAN2019;1.37443
US Dollar;usd;09AUG2019;9.54485
Norwegian Kroner;nok;01APR2018;1.06137
United Kingdom Pound;gbp;01MAY2011;10.01390
United Kingdom Pound;gbp;02JUN2018;11.76483
Euro;eur;02JAN2015;9.48510
United Kingdom Pound;gbp;01MAR2016;12.02599
Danish Krone;dkk;03MAY2009;1.43643
Danish Krone;dkk;01DEC2011;1.22491
Euro;eur;03DEC2011;9.06423
Danish Krone;dkk;05SEP2010;1.25131
Danish Krone;dkk;07JAN2014;1.18911
United Kingdom Pound;gbp;02FEB2012;10.68140
US Dollar;usd;04NOV2006;7.18180
Danish Krone;dkk;02JAN2006;1.26195
Danish Krone;dkk;09DEC2015;1.23896
Euro;eur;08JAN2006;9.32040
Norwegian Kroner;nok;09NOV2010;1.15147
US Dollar;usd;06FEB2006;7.76200
Danish Krone;dkk;06SEP2009;1.38451
United Kingdom Pound;gbp;02OCT2020;12.03519
United Kingdom Pound;gbp;07JUN2009;12.41680
Euro;eur;07MAY2020;10.67285
Euro;eur;09DEC2007;9.39333
Australian Dollar;aud;01MAR2019;6.56314
