Currency;CurrencyCd;ReportDate;Valuation
United Kingdom Pound;gbp;07AUG2014;11.61883
United Kingdom Pound;gbp;10JAN2012;10.65730
Australian Dollar;aud;09JUL2020;6.59509
Australian Dollar;aud;08APR2009;5.82534
Danish Krone;dkk;01MAY2018;1.40921
Euro;eur;08AUG2008;9.40206
US Dollar;usd;08NOV2015;8.71420
Norwegian Kroner;nok;07OCT2015;1.00707
US Dollar;usd;05DEC2006;6.80400
United Kingdom Pound;gbp;04JUL2008;11.87110
United Kingdom Pound;gbp;03OCT2011;10.61460
United Kingdom Pound;gbp;08MAR2012;10.60940
Australian Dollar;aud;06NOV2020;6.59509
Danish Krone;dkk;01JUN2012;1.20886
United Kingdom Pound;gbp;01JAN2019;11.37110
Euro;eur;09SEP2017;9.55177
Euro;eur;03APR2008;9.33668
Danish Krone;dkk;08FEB2013;1.15222
US Dollar;usd;05JAN2010;7.07410
Euro;eur;04AUG2019;10.71121
Australian Dollar;aud;06NOV2016;6.89316
Norwegian Kroner;nok;01DEC2011;1.17069
Australian Dollar;aud;09JUN2015;6.40372
Norwegian Kroner;nok;03MAY2019;1.09555
Norwegian Kroner;nok;10DEC2017;1.01999
Australian Dollar;aud;08JUL2016;6.48282
United Kingdom Pound;gbp;08JUL2018;11.60500
Australian Dollar;aud;05NOV2016;6.89316
Norwegian Kroner;nok;08JUL2006;1.14776
Australian Dollar;aud;08SEP2018;6.48127
United Kingdom Pound;gbp;07OCT2017;10.63700
US Dollar;usd;03JUN2018;8.82815
Norwegian Kroner;nok;04FEB2011;1.13013
Danish Krone;dkk;07AUG2006;1.23089
Euro;eur;08AUG2013;8.67337
Norwegian Kroner;nok;04MAY2011;1.14383
Euro;eur;06FEB2007;9.14196
Danish Krone;dkk;04DEC2014;1.24837
US Dollar;usd;10FEB2015;8.32920
Danish Krone;dkk;04JUL2016;1.26292
Euro;eur;09JUN2020;10.67285
Australian Dollar;aud;05SEP2010;6.61972
Australian Dollar;aud;03NOV2008;5.17860
Norwegian Kroner;nok;08OCT2008;1.14857
Norwegian Kroner;nok;03AUG2020;1.07457
Euro;eur;03JUL2015;9.38510
United Kingdom Pound;gbp;08MAY2011;10.20040
Euro;eur;09MAR2013;8.31946
Euro;eur;08MAY2006;9.30642
US Dollar;usd;02MAY2019;9.53200
Australian Dollar;aud;08AUG2017;6.45628
Norwegian Kroner;nok;08JAN2006;1.17499
Euro;eur;05JUL2007;9.15687
Norwegian Kroner;nok;03MAY2018;1.09672
Norwegian Kroner;nok;06JAN2019;1.04024
Norwegian Kroner;nok;05AUG2006;1.16823
US Dollar;usd;05OCT2011;6.86525
Euro;eur;02DEC2010;9.13957
Euro;eur;03OCT2012;8.61947
Australian Dollar;aud;09APR2013;6.72255
Australian Dollar;aud;06JUN2007;5.82624
Euro;eur;01JAN2009;10.94440
US Dollar;usd;07AUG2019;9.61835
Euro;eur;08NOV2020;10.67285
United Kingdom Pound;gbp;08MAR2008;12.34170
US Dollar;usd;06NOV2010;6.59920
United Kingdom Pound;gbp;07AUG2018;11.53864
Euro;eur;01OCT2020;10.67285
US Dollar;usd;07DEC2009;7.05220
US Dollar;usd;09DEC2014;7.50465
Danish Krone;dkk;07MAR2008;1.26087
United Kingdom Pound;gbp;09FEB2012;10.49580
Euro;eur;09JUN2010;9.62217
Australian Dollar;aud;04NOV2008;5.31690
Danish Krone;dkk;07DEC2010;1.22666
Danish Krone;dkk;01OCT2016;1.29223
United Kingdom Pound;gbp;08JAN2009;11.98320
Danish Krone;dkk;01SEP2008;1.26797
Australian Dollar;aud;09APR2009;5.82452
Australian Dollar;aud;10APR2013;6.72993
United Kingdom Pound;gbp;04SEP2011;10.38200
Danish Krone;dkk;10OCT2018;1.40704
Norwegian Kroner;nok;01JUN2011;1.15047
United Kingdom Pound;gbp;08JUL2014;11.68780
Norwegian Kroner;nok;10SEP2015;1.02271
US Dollar;usd;07OCT2016;8.62860
Danish Krone;dkk;04JAN2010;1.36332
Danish Krone;dkk;10JUN2014;1.21525
United Kingdom Pound;gbp;03DEC2010;10.74620
Norwegian Kroner;nok;04MAY2012;1.17553
Danish Krone;dkk;04SEP2018;1.41376
Danish Krone;dkk;04MAR2012;1.18893
Euro;eur;06AUG2011;9.19875
Norwegian Kroner;nok;06JAN2020;1.07457
Australian Dollar;aud;05SEP2006;5.59273
Danish Krone;dkk;10SEP2010;1.23698
Norwegian Kroner;nok;07JUL2014;1.10880
United Kingdom Pound;gbp;03AUG2008;12.00870
United Kingdom Pound;gbp;05DEC2017;11.34325
US Dollar;usd;08SEP2018;9.07105
Danish Krone;dkk;02JUL2019;1.41171
Euro;eur;10NOV2012;8.55823
Euro;eur;07OCT2006;9.27224
US Dollar;usd;06SEP2015;8.47410
Danish Krone;dkk;04OCT2012;1.15304
Norwegian Kroner;nok;10SEP2016;1.02779
Euro;eur;06NOV2018;10.34437
US Dollar;usd;07DEC2011;6.74570
United Kingdom Pound;gbp;02NOV2007;13.31140
Euro;eur;10NOV2007;9.28410
Australian Dollar;aud;10MAY2018;6.51461
Norwegian Kroner;nok;08JUL2007;1.15766
Australian Dollar;aud;07JUL2012;7.17546
US Dollar;usd;06FEB2007;7.05970
US Dollar;usd;07JAN2011;6.87615
Danish Krone;dkk;01NOV2010;1.24692
US Dollar;usd;07OCT2014;7.18255
Danish Krone;dkk;04AUG2010;1.25994
Australian Dollar;aud;06AUG2009;6.02479
Australian Dollar;aud;06JUL2008;5.77163
Australian Dollar;aud;09FEB2007;5.42750
Norwegian Kroner;nok;04AUG2013;1.11223
United Kingdom Pound;gbp;08SEP2017;10.47433
Norwegian Kroner;nok;07OCT2014;1.11027
United Kingdom Pound;gbp;08MAY2015;12.70838
Australian Dollar;aud;10MAY2014;6.13431
Danish Krone;dkk;01JUL2006;1.23479
US Dollar;usd;06SEP2017;7.95895
Norwegian Kroner;nok;01SEP2010;1.17784
Danish Krone;dkk;02JAN2013;1.14753
Australian Dollar;aud;07NOV2020;6.59509
US Dollar;usd;08SEP2020;9.73445
Euro;eur;08NOV2010;9.28481
Norwegian Kroner;nok;07JAN2012;1.15168
Norwegian Kroner;nok;10MAR2015;1.05550
Danish Krone;dkk;02MAY2017;1.29529
Euro;eur;02SEP2008;9.46038
Australian Dollar;aud;10JUL2020;6.59509
Danish Krone;dkk;10AUG2016;1.27185
Danish Krone;dkk;09DEC2007;1.25905
United Kingdom Pound;gbp;03OCT2007;13.23640
Australian Dollar;aud;08JUN2011;6.55732
US Dollar;usd;07MAR2008;6.12020
US Dollar;usd;09DEC2012;6.67475
Danish Krone;dkk;05MAR2011;1.18798
United Kingdom Pound;gbp;08NOV2020;12.03519
Danish Krone;dkk;05APR2019;1.39682
Danish Krone;dkk;04APR2006;1.25604
United Kingdom Pound;gbp;09APR2015;12.87531
United Kingdom Pound;gbp;01JAN2015;12.11980
US Dollar;usd;01AUG2010;7.24520
Norwegian Kroner;nok;07JAN2013;1.16506
Australian Dollar;aud;10FEB2011;6.51245
Danish Krone;dkk;08APR2015;1.25071
US Dollar;usd;09OCT2019;9.73445
United Kingdom Pound;gbp;01MAR2018;11.41527
Norwegian Kroner;nok;06JUL2020;1.07457
United Kingdom Pound;gbp;04NOV2014;11.88442
Norwegian Kroner;nok;04AUG2011;1.18532
Australian Dollar;aud;08JUL2012;7.17546
Australian Dollar;aud;09MAY2014;6.13431
United Kingdom Pound;gbp;03DEC2014;11.82112
Norwegian Kroner;nok;03MAY2017;1.02459
United Kingdom Pound;gbp;10MAY2014;11.04830
Norwegian Kroner;nok;07APR2012;1.16265
United Kingdom Pound;gbp;09FEB2008;12.63100
Danish Krone;dkk;04NOV2006;1.23043
Danish Krone;dkk;02MAR2015;1.25278
Danish Krone;dkk;01JUL2020;1.42985
United Kingdom Pound;gbp;05AUG2007;13.67950
US Dollar;usd;06JUL2020;9.73445
Norwegian Kroner;nok;03AUG2018;1.08183
US Dollar;usd;01AUG2008;6.07710
Danish Krone;dkk;07OCT2008;1.29119
United Kingdom Pound;gbp;06SEP2014;11.55192
Australian Dollar;aud;04SEP2006;5.58269
Euro;eur;06FEB2012;8.80645
US Dollar;usd;03AUG2011;6.34445
Danish Krone;dkk;04NOV2020;1.42985
Euro;eur;02JUN2006;9.23671
United Kingdom Pound;gbp;06NOV2017;11.04113
United Kingdom Pound;gbp;10JAN2008;12.47010
Norwegian Kroner;nok;03NOV2019;1.07457
Norwegian Kroner;nok;06APR2019;1.07890
Australian Dollar;aud;07SEP2018;6.48127
Euro;eur;08MAY2011;9.00235
US Dollar;usd;03OCT2006;7.33460
US Dollar;usd;08FEB2010;7.44040
Danish Krone;dkk;09JAN2018;1.32042
Danish Krone;dkk;08AUG2019;1.43853
US Dollar;usd;08APR2007;6.92090
United Kingdom Pound;gbp;09JUN2018;11.67703
Australian Dollar;aud;04NOV2012;6.94221
United Kingdom Pound;gbp;10JUL2017;10.86602
Euro;eur;10JAN2020;10.67285
Euro;eur;02FEB2018;9.82034
United Kingdom Pound;gbp;05JUN2008;11.71800
Euro;eur;06MAY2019;10.72836
US Dollar;usd;02SEP2007;6.87890
United Kingdom Pound;gbp;07JUN2011;10.11610
Australian Dollar;aud;07JUN2007;5.85951
Danish Krone;dkk;07MAY2010;1.31533
United Kingdom Pound;gbp;09OCT2020;12.03519
Euro;eur;04DEC2007;9.41141
US Dollar;usd;07JAN2013;6.52545
United Kingdom Pound;gbp;03JAN2018;11.06349
Euro;eur;04FEB2015;9.43124
Euro;eur;10JAN2015;9.48633
Australian Dollar;aud;07AUG2009;6.01946
US Dollar;usd;01APR2018;8.34260
US Dollar;usd;02JUL2012;6.94405
Euro;eur;09MAR2018;10.14507
Norwegian Kroner;nok;01MAR2008;1.18450
Norwegian Kroner;nok;04MAY2010;1.22744
Australian Dollar;aud;04DEC2009;6.36318
Australian Dollar;aud;06SEP2010;6.62463
Danish Krone;dkk;10DEC2006;1.21462
Euro;eur;01APR2016;9.24505
Euro;eur;01NOV2006;9.19792
US Dollar;usd;04SEP2010;7.24020
United Kingdom Pound;gbp;06SEP2010;11.11090
Euro;eur;02DEC2020;10.67285
Euro;eur;04FEB2020;10.67285
United Kingdom Pound;gbp;02FEB2018;11.17128
United Kingdom Pound;gbp;06JUL2007;13.51690
Australian Dollar;aud;10FEB2007;5.42750
US Dollar;usd;05JAN2008;6.34415
US Dollar;usd;09JAN2014;6.57690
US Dollar;usd;03JUN2016;8.16120
United Kingdom Pound;gbp;07DEC2020;12.03519
Norwegian Kroner;nok;04NOV2013;1.09226
US Dollar;usd;08FEB2012;6.64415
United Kingdom Pound;gbp;08NOV2016;11.13294
Norwegian Kroner;nok;04FEB2010;1.24176
Euro;eur;05OCT2014;9.11202
US Dollar;usd;04JUL2015;8.45390
United Kingdom Pound;gbp;07OCT2013;10.35650
US Dollar;usd;10FEB2013;6.42395
Danish Krone;dkk;05NOV2019;1.42985
Danish Krone;dkk;04MAY2014;1.21075
Danish Krone;dkk;08SEP2013;1.17308
US Dollar;usd;01JUN2013;6.62555
Danish Krone;dkk;02APR2009;1.45506
Danish Krone;dkk;08JAN2019;1.36668
Australian Dollar;aud;07JUL2008;5.73338
Euro;eur;03JUL2020;10.67285
Norwegian Kroner;nok;03NOV2020;1.07457
Danish Krone;dkk;03NOV2007;1.24154
US Dollar;usd;10NOV2016;9.10565
Euro;eur;06AUG2016;9.48633
US Dollar;usd;06NOV2008;7.76010
Norwegian Kroner;nok;01MAR2009;1.27771
Euro;eur;03JUL2010;9.55841
Danish Krone;dkk;01APR2010;1.30628
US Dollar;usd;06FEB2009;8.14250
Norwegian Kroner;nok;06APR2020;1.07457
Danish Krone;dkk;05JUL2015;1.25785
Euro;eur;03APR2013;8.34086
Australian Dollar;aud;05NOV2012;6.94595
Danish Krone;dkk;10DEC2020;1.42985
United Kingdom Pound;gbp;10MAR2015;12.85568
Danish Krone;dkk;07JAN2006;1.24923
Australian Dollar;aud;09MAY2010;6.84603
US Dollar;usd;05AUG2016;8.58220
Australian Dollar;aud;05DEC2017;6.42757
Australian Dollar;aud;07NOV2016;6.96789
Euro;eur;06MAY2014;9.06718
Norwegian Kroner;nok;07JUL2013;1.08950
Danish Krone;dkk;01FEB2008;1.26812
United Kingdom Pound;gbp;04NOV2010;10.56980
Euro;eur;01JUL2018;10.44990
Australian Dollar;aud;07MAY2006;5.63794
US Dollar;usd;02SEP2009;7.25085
Australian Dollar;aud;06SEP2014;6.64334
Euro;eur;04FEB2010;10.17810
United Kingdom Pound;gbp;07JUN2007;13.72920
Danish Krone;dkk;05OCT2011;1.22998
Australian Dollar;aud;08MAY2006;5.63236
Australian Dollar;aud;10MAR2012;7.19879
US Dollar;usd;05AUG2014;6.88925
Norwegian Kroner;nok;10JUN2013;1.14456
Danish Krone;dkk;08JUL2011;1.22407
United Kingdom Pound;gbp;01JAN2011;10.43940
US Dollar;usd;03OCT2008;7.06220
Australian Dollar;aud;08MAY2010;6.84603
United Kingdom Pound;gbp;07DEC2016;11.42683
Australian Dollar;aud;10JUN2015;6.41228
Norwegian Kroner;nok;04NOV2012;1.17206
United Kingdom Pound;gbp;05AUG2011;10.59940
Norwegian Kroner;nok;10JUN2015;1.07048
US Dollar;usd;02JUL2014;6.70880
Danish Krone;dkk;07SEP2014;1.23291
Euro;eur;09MAR2008;9.39940
United Kingdom Pound;gbp;03MAY2020;12.03519
Australian Dollar;aud;10JUL2016;6.48282
United Kingdom Pound;gbp;09APR2011;10.19390
Australian Dollar;aud;07SEP2014;6.64334
Euro;eur;09JUN2015;9.36520
Australian Dollar;aud;10APR2009;5.82452
United Kingdom Pound;gbp;10SEP2020;12.03519
Danish Krone;dkk;06FEB2016;1.26279
Australian Dollar;aud;10MAR2008;5.61727
Euro;eur;02DEC2015;9.19790
Danish Krone;dkk;07JUL2012;1.16200
Norwegian Kroner;nok;01SEP2009;1.18987
Euro;eur;10NOV2017;9.74818
US Dollar;usd;09MAY2006;7.29640
US Dollar;usd;10NOV2018;9.06260
Norwegian Kroner;nok;10DEC2015;0.98313
Norwegian Kroner;nok;07OCT2013;1.07615
Australian Dollar;aud;09MAR2008;5.70188
US Dollar;usd;09MAR2011;6.33615
Euro;eur;01APR2011;8.96079
Danish Krone;dkk;02AUG2013;1.17688
US Dollar;usd;08NOV2013;6.60320
United Kingdom Pound;gbp;05OCT2014;11.63575
Euro;eur;08NOV2015;9.36384
Euro;eur;07MAR2016;9.33478
Euro;eur;10AUG2015;9.57128
Euro;eur;06DEC2009;10.33310
Australian Dollar;aud;09AUG2017;6.47412
United Kingdom Pound;gbp;09AUG2017;10.66885
Danish Krone;dkk;08MAR2007;1.24817
Danish Krone;dkk;08JUN2017;1.31465
Euro;eur;06MAY2009;10.54830
Norwegian Kroner;nok;07APR2013;1.12694
US Dollar;usd;10APR2010;7.20710
United Kingdom Pound;gbp;03JAN2014;10.67200
Australian Dollar;aud;09JUL2016;6.48282
Euro;eur;05OCT2009;10.29330
US Dollar;usd;03AUG2013;6.61325
Euro;eur;04MAY2017;9.66059
Norwegian Kroner;nok;03FEB2018;1.02440
Norwegian Kroner;nok;07OCT2012;1.15913
Norwegian Kroner;nok;04NOV2011;1.17285
United Kingdom Pound;gbp;09JUN2010;11.64010
Australian Dollar;aud;05OCT2007;5.82178
United Kingdom Pound;gbp;04SEP2007;13.91430
Norwegian Kroner;nok;03FEB2017;1.06648
Norwegian Kroner;nok;07APR2011;1.15510
Norwegian Kroner;nok;09JUN2020;1.07457
Norwegian Kroner;nok;03FEB2016;0.98226
Danish Krone;dkk;05JAN2009;1.43979
Euro;eur;07OCT2011;9.12343
Danish Krone;dkk;08NOV2015;1.25503
Danish Krone;dkk;01AUG2014;1.23609
United Kingdom Pound;gbp;03MAR2017;11.04624
Australian Dollar;aud;09SEP2018;6.48127
Australian Dollar;aud;08JUN2007;5.90198
Danish Krone;dkk;08MAY2009;1.41118
Danish Krone;dkk;10MAY2006;1.25084
Danish Krone;dkk;10JUL2008;1.26975
Australian Dollar;aud;06DEC2013;5.93187
Australian Dollar;aud;08OCT2019;6.59509
United Kingdom Pound;gbp;03DEC2006;13.42310
Norwegian Kroner;nok;10SEP2014;1.11953
US Dollar;usd;02MAY2017;8.83140
US Dollar;usd;05JAN2006;7.71190
US Dollar;usd;07OCT2012;6.61915
United Kingdom Pound;gbp;10MAR2011;10.28060
Danish Krone;dkk;07NOV2016;1.34269
United Kingdom Pound;gbp;08SEP2013;10.38540
Euro;eur;08FEB2009;10.51240
Danish Krone;dkk;05MAY2013;1.14292
Euro;eur;03OCT2017;9.56499
US Dollar;usd;01APR2020;9.73445
Euro;eur;01NOV2011;9.05975
Euro;eur;02SEP2013;8.71985
Australian Dollar;aud;03DEC2009;6.35260
Australian Dollar;aud;04DEC2013;5.87862
Danish Krone;dkk;03JUL2018;1.38462
Norwegian Kroner;nok;04FEB2009;1.20033
Danish Krone;dkk;09AUG2018;1.39391
United Kingdom Pound;gbp;08MAY2007;13.53690
Australian Dollar;aud;07OCT2015;5.97889
Euro;eur;03APR2018;10.27446
Australian Dollar;aud;05DEC2013;5.86629
Norwegian Kroner;nok;08APR2006;1.18509
United Kingdom Pound;gbp;05OCT2006;13.75110
Australian Dollar;aud;07OCT2019;6.59509
Norwegian Kroner;nok;10DEC2016;1.07986
US Dollar;usd;06JUL2018;8.74760
United Kingdom Pound;gbp;10SEP2016;11.26365
US Dollar;usd;09JAN2016;8.52035
Australian Dollar;aud;08AUG2009;6.01946
Norwegian Kroner;nok;05NOV2006;1.11182
Euro;eur;10MAY2008;9.29780
Australian Dollar;aud;06OCT2011;6.65243
United Kingdom Pound;gbp;05OCT2010;10.65770
United Kingdom Pound;gbp;06JUL2011;10.16790
Australian Dollar;aud;09AUG2013;5.97060
US Dollar;usd;03AUG2009;7.11625
Danish Krone;dkk;09MAR2020;1.42985
Norwegian Kroner;nok;07JAN2011;1.15589
United Kingdom Pound;gbp;01MAY2013;10.12350
Euro;eur;09OCT2008;9.67674
Euro;eur;08MAY2016;9.27884
United Kingdom Pound;gbp;09AUG2013;10.09200
Euro;eur;07JUL2009;11.03420
Euro;eur;08AUG2018;10.38515
Australian Dollar;aud;07AUG2013;5.87493
Danish Krone;dkk;10NOV2012;1.14749
Norwegian Kroner;nok;07JUL2011;1.17366
Euro;eur;02JUN2011;8.89737
Danish Krone;dkk;05SEP2017;1.27395
US Dollar;usd;09MAR2009;9.14305
US Dollar;usd;01JUN2011;6.17980
Norwegian Kroner;nok;01JUN2008;1.17880
Norwegian Kroner;nok;10JUN2014;1.12013
United Kingdom Pound;gbp;01DEC2007;13.07840
US Dollar;usd;04NOV2007;6.38760
Euro;eur;04SEP2010;9.31705
Euro;eur;04DEC2012;8.63618
United Kingdom Pound;gbp;02APR2013;9.80713
Euro;eur;07JUL2014;9.30061
Norwegian Kroner;nok;06APR2018;1.07366
Euro;eur;02SEP2018;10.60900
Australian Dollar;aud;05NOV2008;5.32466
Norwegian Kroner;nok;08OCT2006;1.10295
Norwegian Kroner;nok;10MAR2013;1.11779
Australian Dollar;aud;06OCT2015;5.90741
US Dollar;usd;05AUG2012;6.74040
Danish Krone;dkk;02FEB2007;1.21685
Norwegian Kroner;nok;06OCT2020;1.07457
United Kingdom Pound;gbp;10MAY2018;11.86869
US Dollar;usd;04SEP2012;6.68875
Danish Krone;dkk;06JUN2020;1.42985
Australian Dollar;aud;06DEC2017;6.36889
US Dollar;usd;09OCT2017;8.12870
US Dollar;usd;05OCT2009;7.04440
Danish Krone;dkk;05JUN2007;1.25179
Danish Krone;dkk;03MAR2014;1.18834
Norwegian Kroner;nok;10DEC2014;1.04915
United Kingdom Pound;gbp;06MAY2008;11.85750
Australian Dollar;aud;09JUL2012;7.13545
United Kingdom Pound;gbp;01MAY2017;11.40440
Australian Dollar;aud;09JUN2011;6.60581
Euro;eur;05JUL2012;8.61123
Australian Dollar;aud;10JUN2019;6.55314
Euro;eur;05APR2020;10.67285
US Dollar;usd;04JUL2013;6.69995
Norwegian Kroner;nok;10SEP2013;1.10519
United Kingdom Pound;gbp;02JUN2020;12.03519
Danish Krone;dkk;08OCT2007;1.22839
Danish Krone;dkk;06JAN2008;1.25716
United Kingdom Pound;gbp;04NOV2006;13.70650
US Dollar;usd;10FEB2011;6.49815
US Dollar;usd;01AUG2006;7.23150
Euro;eur;06FEB2017;9.47960
Norwegian Kroner;nok;07JUL2012;1.15047
Norwegian Kroner;nok;03AUG2019;1.08140
Euro;eur;10MAY2013;8.56665
US Dollar;usd;09OCT2015;8.16200
Australian Dollar;aud;05DEC2009;6.36318
Danish Krone;dkk;05FEB2017;1.26971
Euro;eur;08FEB2019;10.49401
Australian Dollar;aud;09SEP2014;6.55520
Australian Dollar;aud;10MAY2010;6.80560
United Kingdom Pound;gbp;05DEC2009;11.49000
Australian Dollar;aud;06NOV2012;6.98108
United Kingdom Pound;gbp;09JUN2014;11.21250
US Dollar;usd;07MAR2006;7.95650
Norwegian Kroner;nok;09MAR2020;1.07457
Norwegian Kroner;nok;09MAR2019;1.07588
US Dollar;usd;08SEP2016;8.40965
Australian Dollar;aud;10JAN2006;5.82016
Danish Krone;dkk;09JUL2010;1.27060
Australian Dollar;aud;10JUN2011;6.66578
Australian Dollar;aud;04OCT2007;5.78529
Norwegian Kroner;nok;04AUG2009;1.18094
Danish Krone;dkk;09OCT2020;1.42985
Euro;eur;09JUL2011;9.12987
Danish Krone;dkk;03SEP2020;1.42985
Euro;eur;02MAR2009;11.52590
Danish Krone;dkk;03APR2008;1.25194
US Dollar;usd;09AUG2020;9.73445
Euro;eur;05APR2010;9.72551
Danish Krone;dkk;06SEP2016;1.27707
Danish Krone;dkk;06AUG2008;1.26305
Australian Dollar;aud;10SEP2018;6.43519
Australian Dollar;aud;10AUG2017;6.44131
United Kingdom Pound;gbp;07APR2008;11.85610
United Kingdom Pound;gbp;09OCT2012;10.67020
Danish Krone;dkk;03FEB2020;1.42985
Euro;eur;05OCT2019;10.67285
United Kingdom Pound;gbp;02FEB2014;10.76240
Norwegian Kroner;nok;10MAR2014;1.07043
United Kingdom Pound;gbp;08SEP2009;11.64690
US Dollar;usd;09DEC2010;6.92400
US Dollar;usd;10APR2008;5.93095
United Kingdom Pound;gbp;06NOV2013;10.44540
US Dollar;usd;07OCT2010;6.66150
Australian Dollar;aud;09JUN2007;5.90198
Danish Krone;dkk;05DEC2013;1.18992
Danish Krone;dkk;03DEC2016;1.31872
United Kingdom Pound;gbp;04FEB2013;9.92446
Danish Krone;dkk;09SEP2012;1.13479
Norwegian Kroner;nok;03AUG2016;1.01104
Danish Krone;dkk;08DEC2009;1.41183
US Dollar;usd;03APR2019;9.28290
Danish Krone;dkk;04JUN2008;1.25327
Norwegian Kroner;nok;06JAN2018;1.00933
Danish Krone;dkk;06NOV2018;1.38682
Australian Dollar;aud;09OCT2019;6.59509
United Kingdom Pound;gbp;01MAR2010;10.77440
US Dollar;usd;04MAY2020;9.73445
Australian Dollar;aud;05OCT2011;6.58206
Norwegian Kroner;nok;01JUN2010;1.20966
US Dollar;usd;04JUL2017;8.53105
Australian Dollar;aud;10MAY2006;5.65336
Norwegian Kroner;nok;03MAY2015;1.10835
United Kingdom Pound;gbp;05DEC2013;10.60960
Norwegian Kroner;nok;03NOV2018;1.08366
Euro;eur;04MAR2006;9.46430
Australian Dollar;aud;10JUL2012;7.13044
Euro;eur;06SEP2007;9.33571
US Dollar;usd;08NOV2011;6.55145
Danish Krone;dkk;02OCT2015;1.25572
US Dollar;usd;10NOV2014;7.41380
Danish Krone;dkk;06JUL2014;1.24769
United Kingdom Pound;gbp;01MAR2014;10.72900
Danish Krone;dkk;04FEB2019;1.39601
Australian Dollar;aud;08JUL2008;5.72292
US Dollar;usd;09MAR2007;7.09390
United Kingdom Pound;gbp;09JUN2006;13.44700
Euro;eur;03JAN2006;9.35743
Danish Krone;dkk;02DEC2017;1.33423
United Kingdom Pound;gbp;09AUG2009;12.00660
United Kingdom Pound;gbp;05MAR2020;12.03519
Norwegian Kroner;nok;06JAN2016;0.95974
US Dollar;usd;07AUG2015;8.82060
United Kingdom Pound;gbp;09OCT2016;10.71845
Danish Krone;dkk;06APR2018;1.38202
Australian Dollar;aud;08AUG2013;5.89614
Norwegian Kroner;nok;04AUG2012;1.12365
Euro;eur;09JUL2006;9.14668
Norwegian Kroner;nok;06JAN2015;1.04025
United Kingdom Pound;gbp;01SEP2019;11.99470
Norwegian Kroner;nok;06APR2016;0.97779
US Dollar;usd;06JUL2016;8.56795
United Kingdom Pound;gbp;03MAY2016;11.65078
Australian Dollar;aud;01FEB2020;6.59509
Norwegian Kroner;nok;04FEB2008;1.16924
US Dollar;usd;06SEP2013;6.64345
Euro;eur;04DEC2017;9.96954
Euro;eur;09JUL2016;9.49263
United Kingdom Pound;gbp;10NOV2019;12.03519
US Dollar;usd;04SEP2008;6.56990
Australian Dollar;aud;06OCT2007;5.82178
Danish Krone;dkk;01DEC2018;1.38202
Australian Dollar;aud;07NOV2012;6.99320
Euro;eur;01AUG2014;9.21419
US Dollar;usd;10NOV2012;6.72605
United Kingdom Pound;gbp;02APR2017;11.13980
Norwegian Kroner;nok;06JUL2019;1.09672
Norwegian Kroner;nok;06JUL2018;1.08931
US Dollar;usd;07AUG2017;8.16475
US Dollar;usd;02MAY2015;8.34615
United Kingdom Pound;gbp;10MAR2007;13.69440
Euro;eur;07OCT2016;9.65325
Danish Krone;dkk;02NOV2009;1.39517
Norwegian Kroner;nok;03AUG2017;1.02474
Danish Krone;dkk;02JUN2011;1.19356
Euro;eur;02MAR2014;8.85465
United Kingdom Pound;gbp;10JUL2013;10.09120
Norwegian Kroner;nok;09JUN2019;1.08808
Norwegian Kroner;nok;08OCT2007;1.19535
United Kingdom Pound;gbp;02JUN2016;12.02883
United Kingdom Pound;gbp;07JAN2020;12.03519
Australian Dollar;aud;06NOV2008;5.32459
US Dollar;usd;05OCT2007;6.47620
US Dollar;usd;10APR2006;7.72820
United Kingdom Pound;gbp;08JUL2006;13.20880
Euro;eur;08DEC2006;9.05650
US Dollar;usd;05JUN2019;9.43145
Euro;eur;10AUG2010;9.42551
Australian Dollar;aud;10SEP2014;6.49530
US Dollar;usd;07DEC2007;6.40505
Danish Krone;dkk;05AUG2009;1.38053
Danish Krone;dkk;01MAY2019;1.42430
Australian Dollar;aud;08NOV2016;6.93251
United Kingdom Pound;gbp;09APR2007;13.63590
Danish Krone;dkk;06MAR2010;1.30174
Euro;eur;03JAN2016;9.17230
Australian Dollar;aud;02FEB2020;6.59509
Norwegian Kroner;nok;04NOV2010;1.13526
Australian Dollar;aud;08SEP2010;6.67354
United Kingdom Pound;gbp;09DEC2015;12.75468
Australian Dollar;aud;08SEP2014;6.60163
Norwegian Kroner;nok;03AUG2015;1.04999
Norwegian Kroner;nok;10JUN2012;1.17918
Euro;eur;04SEP2015;9.41600
Norwegian Kroner;nok;07APR2010;1.21564
US Dollar;usd;04JUL2011;6.26690
Euro;eur;05JAN2008;9.36587
Norwegian Kroner;nok;04MAY2009;1.22033
Australian Dollar;aud;10NOV2020;6.59509
Danish Krone;dkk;10JUN2015;1.25267
Australian Dollar;aud;07DEC2013;5.93187
United Kingdom Pound;gbp;10MAY2010;11.28320
US Dollar;usd;06NOV2006;7.20410
Danish Krone;dkk;03JUN2010;1.28140
Danish Krone;dkk;03AUG2012;1.11562
Australian Dollar;aud;08DEC2017;6.37369
United Kingdom Pound;gbp;06FEB2020;12.03519
US Dollar;usd;07OCT2008;7.04370
Danish Krone;dkk;07FEB2015;1.26878
Euro;eur;04SEP2020;10.67285
Norwegian Kroner;nok;01SEP2007;1.18062
Australian Dollar;aud;10OCT2015;5.97336
Norwegian Kroner;nok;04MAY2008;1.18021
Australian Dollar;aud;02JAN2019;6.28792
